99048,131313
99048,767184
99048,826063
99138,5704813
106781,339853
118459,99048
123928,4592597
131313,4436439
143916,1099993
155128,901998
159313,150797
159313,204291
159313,205552
159313,626754
159313,723641
159313,908468
159316,142036
159316,369928
202260,588254
207737,4592597
224862,588254
276854,1129593
282608,4683872
330063,1212803
354741,47533
384944,191945
384944,989537
394798,320079
394798,321126
394798,443076
447832,4581053
453913,858776
453913,1271192
477024,48487
477024,77236
477024,348539
477024,1087090
477024,1174829
477024,1261089
482181,931428
512051,1174829
588254,5907911
650240,189254
650240,588254
650240,5907911
670405,908763
670405,909549
690190,1186499
769892,47533
769892,1122063
881709,956998
908763,838199
908763,1001852
908763,1139259
908763,1174829
908763,1262788
974495,1174829
976808,1130359
1139259,48487
1188560,4683872
1188560,18689027
1188560,18689029
1261089,47533
1262788,1139259
1304577,1531718
1304577,1727730
1304577,1780326
1304577,2139617
1304577,2532961
1304577,2931356
1304577,2961641
1304577,3159965
1304577,3275555
1313726,437377
1313726,1158033
1313726,2387254
1313726,2446712
1313726,2477293
1313726,2525492
1313726,2840314
1313726,2853165
1313726,2935746
1313726,2965293
1313726,2970984
1313726,3002783
1313726,3276309
1313726,6086432
1313726,6177381
1313726,6197336
1313726,6202576
1313726,6207270
1313726,6309904
1313726,6478183
1321840,2161429
1321840,2180315
1321840,3003151
1321840,6389544
1321840,6456276
1328294,1661692
1328294,1991839
1328294,2010047
1328294,2547842
1328294,2668332
1328294,2739728
1328294,3297887
1328294,3366906
1328294,3549715
1328294,3571496
1328294,5968539
1328294,6456276
1349195,1676562
1349195,1976101
1349195,2065845
1349195,2187469
1349195,2300572
1349195,2318983
1349195,2494458
1349195,2651187
1349195,2901399
1349195,2903835
1349195,2907318
1349195,3488932
1350902,3777161
1350902,3993776
1350902,6200477
1353534,1139259
1353534,1675432
1353534,1978827
1353534,2227105
1353534,2567252
1353534,2567257
1353534,2567260
1353534,2567261
1353534,2567262
1353534,2731721
1353534,2885918
1353534,2891459
1353534,2892397
1353534,2903835
1353534,2979618
1353534,2991052
1353534,3057885
1353534,3460915
1353534,3490623
1353534,3500674
1353534,3788976
1353534,6363172
1353534,6541983
1353534,6602931
1353534,7034532
1356097,3159965
1356097,3275717
1356097,3309126
1356097,3904771
1356097,6298042
1359788,1703973
1359788,1899407
1359788,2180311
1359788,2567683
1359788,3044894
1359788,3485683
1359788,3497974
1359788,3531381
1359788,3968427
1359788,6220066
1361492,213334
1361492,1644239
1361492,1727742
1361492,1869820
1361492,2109714
1361492,2507727
1361492,2510155
1361492,2576007
1361492,2673897
1361492,2838358
1361492,2847947
1361492,2984941
1361492,3134263
1361492,3286334
1361492,3290380
1361492,7030829
1370298,219345
1370298,1697648
1370298,1971659
1370298,2187469
1370298,2201499
1370298,2215594
1370298,2403561
1370298,2647560
1370298,2653745
1370298,2846770
1370298,2861361
1370298,2988099
1370298,3011574
1370298,3053305
1370298,3056757
1370298,3240835
1370298,3546382
1370298,6134178
1370298,6253833
1370298,6374896
1370298,6759266
1382289,1697648
1382289,1971659
1382289,2403561
1382289,2979605
1382289,3537124
1382289,3546382
1385478,1674689
1385478,1744803
1385478,1825939
1385478,1831491
1385478,1901764
1385478,1902501
1385478,2073786
1385478,2250718
1385478,2838359
1385478,2843411
1385478,3159965
1385478,3301484
1385478,3530850
1385478,3894793
1385796,2510155
1385796,2527266
1385796,2961513
1385796,2966437
1385796,3514330
1385796,3525284
1389712,1671422
1389712,3056758
1390526,1987100
1390526,2060416
1390526,2477293
1390526,2571758
1390526,2853165
1390526,3184351
1390526,4042795
1390526,4064578
1390526,6363177
1392822,1653667
1392822,2300121
1392822,3336401
1392822,3336402
1392822,3522325
1392822,4065432
1392822,6340413
1393277,1704001
1393277,1828522
1393277,1884094
1393277,1909198
1393277,1934356
1393277,1936589
1393277,2167002
1393277,2669529
1393277,2676060
1393277,2923230
1393277,3666321
1393277,6439270
1393277,6824815
1393888,2043812
1393888,2389148
1393888,2404717
1393888,3054559
1393888,3203569
1393888,3894969
1398757,2210079
1398757,2533758
1398757,2567683
1398757,2656351
1398757,2981751
1398757,3485683
1398757,3531381
1398757,3968427
1398757,6202817
1398757,6220066
1401068,2254458
1401068,2257997
1401068,2403659
1401068,2653926
1401068,2657323
1401068,3391340
1401068,6384267
1402656,1532369
1402656,1598576
1402656,1737841
1402656,1834505
1402656,1901764
1402656,1901765
1402656,2119056
1402656,3556279
1402656,6235141
1402665,1532777
1402665,3114751
1402665,3906651
1404460,187516
1404460,2658981
1409662,1548033
1409662,1674689
1409662,1675432
1409662,1697648
1409662,1763324
1409662,1824775
1409662,1896073
1409662,1901764
1409662,1901765
1409662,1902501
1409662,1936625
1409662,1972779
1409662,2113614
1409662,2163026
1409662,2190098
1409662,2204345
1409662,2449974
1409662,2494458
1409662,2562156
1409662,2838358
1409662,2882518
1409662,2885918
